id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
13,Actavo,12,-10.9,4.4,-42.9,1.6,https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2022.pdf,2022,NULL,NULL,NULL,NULL,38.5,36.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.1,86.9,NULL
14,Aer Lingus (all legal entities),13,79.4,30.5,15.7,14.1,https://www.aerlingus.com/media/images/content/AerLingusGenderPayGapReport.pdf,2022,41,3.5,2.2,1.1,58.1,14.7,1.5,4.7,40.1,59.9,63.7,36.3,52.8,47.2,20.3,79.7,NULL,NULL,NULL
15,AerCap,14,72,56,54,28,https://www.aercap.com/_assets/_e79c435076dd9ec445de9c9e9d52ed05/aercap/db/526/11967/file/AerCap+Gender+Pay+Gap+Report+2022.pdf,2022,NULL,NULL,19,41,91,93,95,98,66,34,45,55,44,56,32,68,46.91,53.08,NULL
16,AIB,15,7.37,18.4,5.57,14.44,https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2022.pdf,2022,-4.16,-18.98,2.63,4.2,0.9,1.6,91.8,88.9,58.4,41.6,64.2,35.8,63,37,39.9,60.1,NULL,NULL,NULL
17,AIG (both legal entities),16,48,26.5,33,25,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report-2022.pdf,2022,NULL,NULL,-3,0,81,91,87,80,58,42,50,50,54,46,30,70,NULL,NULL,NULL
18,Airbnb Ireland UC,17,29.3,23.9,9.6,14,https://news.airbnb.com/wp-content/uploads/sites/4/2022/12/Airbnb-Ireland-UC-Gender-Pay-Gap-2022.pdf,2022,NULL,NULL,NULL,NULL,100,100,100,100,62.1,37.9,56.8,43.2,57.9,42.1,48.5,51.5,NULL,NULL,NULL
19,Alcon Ireland,18,-13.7,1,4.1,3,https://uk.alcon.com/sites/g/files/rbvwei766/files/2022-12/Gender_Pay_Gap_Report_2022.pdf,2022,-28.7,-14,1,-11.6,85.8,89,100,100,57,43,62,38,70,30,66,34,NULL,NULL,NULL
20,ALDI Ireland,19,-3,13.2,0,2.2,https://cdn.aldi-digital.co.uk/ET4mO3qq$0Lci4LtXg0rOUtDlTQ.pdf,2022,1.6,1.6,-7.6,-1.1,17,13,72,74,55,45,51,49,51,49,41,59,NULL,NULL,NULL
21,Alliance Medical,20,48,4.5,74,37.5,https://www.alliancemedical.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,-7,13.65,NULL,NULL,4,4,NULL,NULL,91,9,84,16,53,47,77,23,76,24,NULL
22,Allianz Ireland,21,45.8,19.8,10.7,13.9,https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_22.pdf,2022,-8.05,-7.53,7.01,-11.87,83.19,84.06,66.46,64.35,51.81,48.19,53.01,46.99,51.81,48.19,35.54,64.46,NULL,NULL,NULL
23,Amazon Data Services Ireland Ltd,22,14.3,4.3,20.9,6,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,43.5,42.9,-17.1,-26.9,79.7,78.4,82.7,88.1,20,80,14,86,17,83,13,87,NULL,NULL,NULL
24,Amazon Development Centre Ireland Ltd ,23,37.2,19.7,40.2,20.8,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,NULL,NULL,5,12.7,93.7,94.9,93.7,90.5,20,80,13,87,6,94,8,92,NULL,NULL,NULL
25,Amazon Ireland Support Services Ltd ,24,12,7.8,16.7,8.6,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,0,0,0,0,87.2,85.7,86.1,79,63,37,59,41,60,40,50,50,NULL,NULL,NULL
26,Amundi Ireland,25,68.9,41,19.1,16.8,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_ac479bcf-8447-4668-8ef5-f763ed634903_inline,2022,NULL,NULL,-2.5,-0.5,85.1,85.3,93.4,90.5,36.8,63.2,46,54,39.3,60.7,15.7,84.3,34.3,65.7,NULL
27,An Garda Síochána: Garda Members,26,NULL,4.81,NULL,3.94,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,-1.3,-2.01,NULL,NULL,NULL,NULL,NULL,NULL,36,64,34,66,24,76,18,82,28,72,NULL
28,An Garda Síochána: Garda Staff,27,NULL,2.67,NULL,-15.54,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,-10.59,-7.19,-1.27,-0.71,NULL,NULL,NULL,NULL,67,33,64,36,86,14,69,31,72,28,NULL
29,An Post,28,8.2,-0.86,10.9,0.49,https://www.anpost.com/getmedia/016a351d-f97b-4ee5-b910-bd995fcfb93c/AnPostGenderReport2022.pdf,2022,-7.7,-7.28,2.3,1.92,10.58,6.64,0,0.1,31,69,19,81,17,83,32,68,NULL,NULL,NULL
30,Aon Ireland (all legal entities),29,64.2,28.3,50.9,27.8,https://www.aon.com/getmedia/2ead2c41-0026-43b5-ba73-d39cd809d868/Aon-Ireland-Gender-Pay-Gap-Report-2022-(web).pdf,2022,-0.5,-49.3,5.2,-28.8,86.1,85.3,93.2,94.6,69,31,59.6,40.4,52.5,47.5,26.6,73.4,NULL,NULL,NULL
31,Apple Ireland (all legal entities),30,11,9,0,3,https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2022.pdf,2022,-45,-18,-4,-4,84,89,100,100,47,53,40,60,45,55,38,62,NULL,NULL,NULL
32,Applegreen,31,57.84,7.8,50,0.86,https://applegreenstores.com/wp-content/uploads/2022/12/AG_Gender-Pay-Gap_2022.pdf,2022,1.4,1.3,NULL,NULL,25,20,2.8,2.6,63,37,58,42,47,53,42,57,NULL,NULL,NULL
33,Applus Car Testing Services Ltd. (Fortnightly) ,32,-203.9,-0.3,-214.2,-4.9,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0,0,NULL,NULL,NULL,NULL,0,0,0,100,25,75,50,50,25,75,NULL,NULL,NULL
34,Applus Car Testing Services Ltd. (Monthly),33,0,0,100,100,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0,0,NULL,NULL,NULL,NULL,0,0,0,100,0,0,0,100,0,0,NULL,NULL,NULL
35,Applus Inspection Services Ltd. Ireland (Fortnightly),34,56.28,30.54,60.33,34.1,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,7.07,7.9,0,0,97.39,98.85,0,0.16,56.91,43.09,5.52,94.48,1.1,98.9,0,100,NULL,NULL,NULL
36,Applus Inspection Services Ltd. Ireland (Monthly),35,72.89,42,45.88,50.38,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0,0,0,0,84.62,83.72,0,32.56,71.43,28.57,7.14,92.86,7.14,92.86,7.14,92.86,NULL,NULL,NULL
37,Arachas,36,52.6,29.7,32.1,22.2,https://www.arachas.ie/media/5yonmz5m/arachas-gender-pay-gap-report-2022.pdf,2022,40.24,41.79,0.79,-28.67,83,78,2.45,5.18,59,41,68,32,34,66,34,66,NULL,NULL,NULL
38,Aramark: Avoca Handweavers Shops Limited,37,29.4,-0.6,9.8,1.5,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,0.9,0.9,NULL,NULL,3,1,0.3,0.2,62.2,37.8,60.7,39.3,58,42,56.4,43.6,NULL,NULL,NULL
39,Aramark: Campbell Catering Limited,38,60.1,13.5,39.5,5.1,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,1,0.6,NULL,NULL,5.3,5.8,1.3,2.5,72,28,62,38,64,36,50,50,NULL,NULL,NULL
40,Aramark: Vector Workplace and Facility Management Limited,39,-15.1,32.3,-29.6,28,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,4.8,1.7,41.3,1.2,1.4,6.8,1.6,30.5,81,19,71,29,57,43,13,87,NULL,NULL,NULL
41,Ardmac,40,24,12,32,1.9,https://www.ardmac.com/report-on-the-gender-pay-gap-at-ardmac/,2022,NULL,NULL,NULL,NULL,80,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,88,NULL
42,Arrabawn,41,88.9,8.9,100,6.2,https://arrabawn.ie/wp-content/uploads/2022/12/Arrabawn-Gender-Pay-Gap-2022.12.pdf,2022,-35.8,-63.9,-3.9,2.1,38,64,2.1,7.2,25,75,17,83,21,79,12,88,18.5,81.5,NULL
43,Arthur Cox (including partners),42,39,52,31,17,https://www.arthurcox.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-December-2022.pdf,2022,NULL,NULL,NULL,NULL,92,79,38,35,64,36,65,35,63,37,37,63,64,36,NULL
44,Arup,43,42.3,21.9,26.4,21.4,https://www.arup.com/perspectives/publications/research/section/ireland-gender-pay-gap-report-2022,2022,8.3,14.6,23.3,2.9,92.1,91.5,63.1,59.4,47.7,52.3,45.1,54.9,33.7,66.3,25.1,74.9,39,61,NULL
45,ARYZTA Food Solutions Ireland,44,-34.6,13.5,-28.06,10.57,https://www.aryztafoodsolutions.ie/gender-pay-gap-report/,2022,23.09,20.1,0,0,25,50,1.25,0.57,46.88,53.12,33.33,66.67,25,75,20.63,79.37,31.5,68.5,NULL
46,Astellas Ireland (all legal entities),45,-13.5,4.3,5.7,14,https://www.astellas.com/ie/system/files/mat-ie-non-2022-00066_astellas_2022_gender_pay_gap_report.pdf,2022,NULL,NULL,8.7,25.8,NULL,NULL,88.2,91,54,46,58,42,27.7,72.3,34.8,65.2,NULL,NULL,NULL
