year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,27.4,12.3,13.9,8.8,-9.3,-3.5,-4.7,-0.5,86.5,86.5,80,80
2022,-35.4,0.6,-224.5,4.1,-46.4,-46.4,20.3,26.3,85.1,84.7,4.5,17.4
2022,48.5,10.6,23.9,0.2,-14.7,-16.4,2.8,-1.5,79.5,71.5,2.2,2.8
2022,32.9,11.3,10.7,19.7,47.9,19,-8.9,-11.8,68.4,79,90,84.2
2022,14.85,13.8,-24.17,-4.2,-29.12,-28.98,0,0,38.64,38.38,12.88,18.38
2022,14.5,8.8,0,11.3,-44.6,4.2,NULL,NULL,17.9,16.4,26.8,18.7
2022,59.3,20.45,19.3,19.57,29.7,54.8,NULL,NULL,98,100,79.5,54.1
2022,58.6,19.8,29.5,15.4,61.7,53.9,10.3,-23.7,89,88.2,14.5,12.7
2022,-38,13.7,-83.1,8.7,-42.2,-32.5,0,100,75.5,65.9,7.8,7.3
2022,NULL,6.56,NULL,-8.08,1.03,2.52,-2.09,-11.25,NULL,NULL,NULL,NULL
2022,30,29,31,34,-31,-18,-33,-30,81,73,80,83
2022,NULL,2.01,NULL,-8.31,-12.94,-10.5,19.94,25.64,NULL,NULL,NULL,NULL
2022,-13.7,16.4,0,11.4,NULL,NULL,NULL,NULL,10.2,6.1,0.1,0.7
2022,NULL,4.9,NULL,0.4,24.1,23.8,6.9,0.1,NULL,NULL,20.7,18.2
2022,NULL,8.5,NULL,5.9,1.1,-9.8,5.4,0,NULL,NULL,NULL,NULL
2022,36.78,10.22,-17.46,5.35,-41.89,-45.01,8.34,-2.23,57.72,58.42,48.66,46.09
2022,NULL,-4.94,NULL,-17.55,22.51,23.42,-6.91,6.25,NULL,NULL,NULL,NULL
2022,NULL,26.3,NULL,4.4,40.9,7.2,23.2,25.8,NULL,NULL,NULL,NULL
2022,16,7,8,-1,-65,-67,8,8,88,95,12,36
2022,4.9,1.14,3.8,0.76,1.36,0.72,NULL,NULL,66.7,60.9,11.3,8.1
2022,30.4,22,39.4,22.3,-2.6,15,3.6,0,93.1,92.6,94.3,92.6
2022,41,19,33,11,NULL,NULL,2,1,41,59,76,72
2022,26,15,24,15,-8,-2,30,13,76,78,97,97
2022,NULL,-7.04,NULL,-15.73,-12.61,-2.12,7.38,11.07,NULL,NULL,NULL,NULL
2022,-31.2,-2.9,-10.9,-2.5,15.3,17,15.2,4.8,96.2,91.9,94.9,91
2022,73.5,31.7,27.5,34.1,-5,22,-4,-3,75,67,NULL,NULL
2022,21.6,-9.7,12.4,-5.32,-82.31,-138.3,-110.42,-103.67,86.4,64.42,100,100
2022,35.7,10.71,49.3,9.76,0,0.3,-7.8,-17.6,NULL,NULL,NULL,NULL
2022,100,0.5,0,-0.7,-75,-83.4,5,1.1,NULL,NULL,NULL,NULL
2022,31.6,9.9,6.5,4.3,42.9,57.8,-0.7,0,90.3,88.7,89.5,88.7
2022,NULL,5.41,NULL,-7.55,-0.72,-8.04,13.03,12.09,NULL,NULL,NULL,NULL
2022,NULL,1.29,NULL,-3.59,-5.56,-0.94,25.26,13.93,NULL,NULL,NULL,NULL
2022,-42,3.33,-6,-1.55,-2.32,-0.25,0,0,41,77,0,0
2022,38,11,29,11,-35,-23,NULL,NULL,65,71,12,11
2022,-1.4,-12,-9.4,-16,NULL,NULL,NULL,NULL,16.3,8.8,8.05,9.83
2022,16.5,15.6,-7.1,4.4,-5.2,-4.8,-6.2,-2.5,92.7,91.8,79.9,73
2022,72.3,59,55.6,32,-64.4,-12.8,74.5,-106.4,85.4,89.5,19.5,39.5
